#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	FTP Path	Pubmed ID	Strain
Mycobacterium avium subsp. hominissuis	439334	PRJNA576232	576232	Terrabacteria group	Actinomycetota	5.23723	69.1	-	WEHL01	118	5006	4832	2021/09/20	2022/10/16	Contig	Aichi Prefectural Chuo Livestock Hygiene Service Center	SAMN12984512	GCA_020054575.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/054/575/GCA_020054575.1_ASM2005457v1	-	OCU473
Mycobacterium tuberculosis	1773	PRJNA555636	555636	Terrabacteria group	Actinomycetota	4.41777	65.6	chromosome:NZ_CP041830.1/CP041830.1	-	1	4136	3880	2020/10/20	2022/06/23	Complete Genome	San Diego State University	SAMN12325237	GCA_014900075.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/900/075/GCA_014900075.1_ASM1490007v1	-	2-0068P6C4
Mycobacterium tuberculosis	1773	PRJNA379898	379898	Terrabacteria group	Actinomycetota	4.41772	65.6	chromosome:NZ_CP022014.1/CP022014.1	-	1	4150	3908	2017/06/26	2022/02/07	Complete Genome	Seoul National University	SAMN06622697	GCA_002208235.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/235/GCF_002208235.1_ASM220823v1	-	MTB2
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.21164	65.6	-	NBAE01	116	4060	3749	2017/10/25	2022/02/07	Contig	Institut Pasteur de Montevideo	SAMN06627996	GCA_002703795.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/703/795/GCF_002703795.1_ASM270379v1	-	MbURU-023
Mycobacterium avium subsp. hominissuis	439334	PRJDB502	231331	Terrabacteria group	Actinomycetota	5.33054	69	-	BDNI01	162	5029	4826	2017/03/31	2022/01/30	Contig	Meijo University faculty of pharmacy	SAMD00076660	GCA_002089375.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/089/375/GCF_002089375.1_ASM208937v1	28045086	IH-217
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.31798	65.6	-	NAZV01	90	4113	3808	2017/10/25	2022/02/04	Contig	Institut Pasteur de Montevideo	SAMN06627994	GCA_002703885.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/703/885/GCF_002703885.1_ASM270388v1	-	MbURU-021
Mycobacterium avium subsp. hominissuis	439334	PRJNA656902	656902	Terrabacteria group	Actinomycetota	5.1228	69	-	JACSHE01	83	4895	4685	2021/10/05	2021/10/07	Contig	University of Wisconsin-Madison	SAMN15806913	GCA_020275705.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/275/705/GCA_020275705.1_ASM2027570v1	33162087	T2
Mycobacterium tuberculosis	1773	PRJNA555636	555636	Terrabacteria group	Actinomycetota	4.41768	65.6	chromosome:NZ_CP041858.1/CP041858.1	-	1	4138	3891	2020/10/20	2022/02/07	Complete Genome	San Diego State University	SAMN12325207	GCA_014900675.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/900/675/GCA_014900675.1_ASM1490067v1	-	1-0064P6C4
Mycobacterium sp. E2479	1834134	PRJNA305922	305922	Terrabacteria group	Actinomycetota	5.67262	66.1	-	LZJR01	174	5360	5122	2016/06/17	2022/07/29	Contig	JCVI	SAMN04634224	GCA_001667925.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/925/GCF_001667925.1_ASM166792v1	-	E2479
Mycobacterium tuberculosis	1773	PRJNA820632	820632	Terrabacteria group	Actinomycetota	4.41724	65.6	chromosome:NZ_CP095022.1/CP095022.1	-	1	4151	3873	2022/04/11	2022/04/14	Complete Genome	Institute of Dermatology, Chinese Academy of Medical Sciences and Peking Union Medical College	SAMN27028220	GCA_022871125.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/871/125/GCA_022871125.1_ASM2287112v1	-	SGF0472017
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.37753	65.6	-	NAZY01	97	4192	3875	2017/10/25	2022/02/04	Contig	Institut Pasteur de Montevideo	SAMN06628114	GCA_002703735.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/703/735/GCF_002703735.1_ASM270373v1	-	MbURU-003
Mycobacterium avium subsp. hominissuis	439334	PRJNA299461	299461	Terrabacteria group	Actinomycetota	5.20324	69.1	-	LNAF01	167	4977	4743	2016/04/04	2021/12/07	Contig	Robert Koch Institute	SAMN04229397	GCA_001610185.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/185/GCF_001610185.1_ASM161018v1	-	MAH-E-82-7
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.50396	65.6	-	NAZX01	89	4336	3997	2017/10/25	2022/02/04	Contig	Institut Pasteur de Montevideo	SAMN06628115	GCA_002703765.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/703/765/GCF_002703765.1_ASM270376v1	-	MbURU-002
Mycobacterium avium subsp. hominissuis	439334	PRJNA656902	656902	Terrabacteria group	Actinomycetota	5.05707	69.1	-	JACSHF01	87	4871	4664	2021/10/05	2021/10/07	Contig	University of Wisconsin-Madison	SAMN15806914	GCA_020275665.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/275/665/GCA_020275665.1_ASM2027566v1	33162087	T52b
Mycobacterium tuberculosis	1773	PRJNA555636	555636	Terrabacteria group	Actinomycetota	4.41697	65.6	chromosome:NZ_CP041863.1/CP041863.1	-	1	4140	3892	2020/10/20	2022/02/07	Complete Genome	San Diego State University	SAMN12325202	GCA_014900775.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/900/775/GCA_014900775.1_ASM1490077v1	-	1-0045P6C4
Mycobacterium sp. 1245111.1	1834073	PRJNA305922	305922	Terrabacteria group	Actinomycetota	5.62432	65.9	-	LZLV01	164	5539	5319	2016/06/17	2022/07/29	Contig	JCVI	SAMN04634196	GCA_001673405.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/673/405/GCF_001673405.1_ASM167340v1	-	1245111.1
Mycobacterium sp. E2989	1834140	PRJNA305922	305922	Terrabacteria group	Actinomycetota	5.27679	68.9	-	LZJX01	139	5097	4897	2016/06/17	2022/07/29	Contig	JCVI	SAMN04634218	GCA_001667595.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/595/GCF_001667595.1_ASM166759v1	-	E2989
Mycobacterium tuberculosis	1773	PRJNA369711	369711	Terrabacteria group	Actinomycetota	4.41694	65.6	chromosome:NZ_CP019610.1/CP019610.1	-	1	4132	3891	2018/07/03	2022/01/24	Complete Genome	The Hong Kong Polytechnic University	SAMN06292592	GCA_003287125.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/287/125/GCF_003287125.1_ASM328712v1	-	H54
Mycobacterium avium subsp. hominissuis	439334	PRJNA656902	656902	Terrabacteria group	Actinomycetota	5.02535	69.1	-	JACSHG01	81	4838	4649	2021/10/05	2021/10/07	Contig	University of Wisconsin-Madison	SAMN15806915	GCA_020275605.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/275/605/GCA_020275605.1_ASM2027560v1	33162087	T62b
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.21003	65.6	-	NAZW01	99	4037	3734	2017/10/25	2022/02/04	Contig	Institut Pasteur de Montevideo	SAMN06627995	GCA_002703995.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/703/995/GCF_002703995.1_ASM270399v1	-	MbURU-022
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.31008	65.6	-	NAZL01	99	4139	3815	2017/10/25	2022/02/04	Contig	Institut Pasteur de Montevideo	SAMN06627533	GCA_002703945.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/703/945/GCF_002703945.1_ASM270394v1	-	MbURU-010
Mycobacterium avium subsp. hominissuis	439334	PRJNA656902	656902	Terrabacteria group	Actinomycetota	4.94152	69.2	-	JACSHA01	93	4753	4553	2021/10/05	2021/10/07	Contig	University of Wisconsin-Madison	SAMN15806905	GCA_020275125.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/275/125/GCA_020275125.1_ASM2027512v1	33162087	W15
Mycobacterium tuberculosis	1773	PRJNA555636	555636	Terrabacteria group	Actinomycetota	4.4168	65.6	chromosome:NZ_CP041850.1/CP041850.1	-	1	4140	3884	2020/10/20	2022/02/07	Complete Genome	San Diego State University	SAMN12325217	GCA_014900475.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/900/475/GCA_014900475.1_ASM1490047v1	-	1-0116P6C4
Mycobacterium sp. NS-7484	1834161	PRJNA305922	305922	Terrabacteria group	Actinomycetota	5.56016	66.6	-	MBEJ01	143	5388	5210	2017/01/18	2022/07/29	Contig	JCVI	SAMN04634271	GCA_001953975.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/975/GCF_001953975.1_ASM195397v1	-	NS-7484
Mycobacterium sp. 852002-30065_SCH5024008	1834088	PRJNA305922	305922	Terrabacteria group	Actinomycetota	5.2737	67.6	-	LZSZ01	192	5071	4844	2016/06/17	2022/07/29	Contig	JCVI	SAMN04696142	GCA_001665645.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/645/GCF_001665645.1_ASM166564v1	-	852002-30065_SCH5024008
Mycobacterium tuberculosis	1773	PRJNA555636	555636	Terrabacteria group	Actinomycetota	4.41676	65.6	chromosome:NZ_CP041815.1/CP041815.1	-	1	4132	3886	2020/10/20	2022/06/23	Complete Genome	San Diego State University	SAMN12325253	GCA_014899745.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/899/745/GCA_014899745.1_ASM1489974v1	-	SEA02010036P6C4
Mycobacterium tuberculosis variant bovis	1765	PRJNA713797	713797	Terrabacteria group	Actinomycetota	4.36763	65.6	-	JAGEUC01	20	4164	3680	2021/05/07	2022/01/25	Scaffold	Michigan State University	SAMN18264921	GCA_018305045.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/305/045/GCA_018305045.1_ASM1830504v1	-	10-7428
Mycobacterium avium subsp. hominissuis	439334	PRJNA299461	299461	Terrabacteria group	Actinomycetota	5.17713	69.2	-	LMVY01	155	4971	4761	2016/04/04	2021/12/07	Contig	Robert Koch Institute	SAMN04229410	GCA_001610395.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/395/GCF_001610395.1_ASM161039v1	-	MAH-E-104-1
Mycobacterium avium subsp. hominissuis	439334	PRJNA299461	299461	Terrabacteria group	Actinomycetota	5.03617	69.2	-	LMVV01	143	4816	4602	2016/04/04	2021/12/07	Contig	Robert Koch Institute	SAMN04229407	GCA_001610375.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/375/GCF_001610375.1_ASM161037v1	-	MAH-E-63-1
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.29879	65.6	-	NAZQ01	92	4118	3792	2017/10/25	2022/02/04	Contig	Institut Pasteur de Montevideo	SAMN06627643	GCA_002703875.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/703/875/GCF_002703875.1_ASM270387v1	-	MbURU-017
Mycobacterium tuberculosis	1773	PRJNA555636	555636	Terrabacteria group	Actinomycetota	4.41671	65.6	chromosome:NZ_CP043997.1/CP043997.1	-	1	4141	3892	2020/10/13	2022/06/23	Complete Genome	San Diego State University	SAMN12325208	GCA_014884665.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/884/665/GCA_014884665.1_ASM1488466v1	-	1-0066P6C4
Mycobacterium sp. Marseille-P9652	2654950	PRJEB34896	578343	Terrabacteria group	Actinomycetota	5.70398	69.3	-	CACRUY01	128	5354	5120	2019/11/12	2022/07/30	Contig	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS, Faculte de Medecine, Universite de la Mediterranee, Marseille, France	SAMEA6157417	GCA_902652685.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/652/685/GCA_902652685.1_P9652	-	Marseille-P9652
Mycobacterium tuberculosis	1773	PRJNA573545	573545	Terrabacteria group	Actinomycetota	4.41667	65.6	chromosome:NZ_CP044345.1/CP044345.1	-	1	4150	3823	2019/10/01	2022/02/07	Complete Genome	University of Otago	SAMN12816907	GCA_008761675.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/761/675/GCF_008761675.1_ASM876167v1	-	L
Mycobacterium tuberculosis variant bovis	1765	PRJNA438992	438992	Terrabacteria group	Actinomycetota	4.2852	65.5	-	PYQF02	101	4116	3809	2018/03/31	2022/02/04	Scaffold	Universidade de Sao Paulo	SAMN08737676	GCA_003027875.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/027/875/GCF_003027875.2_ASM302787v2	-	Mb_wild_b2
Mycobacterium avium subsp. hominissuis	439334	PRJNA299461	299461	Terrabacteria group	Actinomycetota	5.05014	69.3	-	LNAH01	175	4833	4622	2016/04/04	2021/12/07	Contig	Robert Koch Institute	SAMN04229404	GCA_001610315.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/315/GCF_001610315.1_ASM161031v1	-	MAH-E-61-1t
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.30482	65.6	-	NAZU01	98	4131	3822	2017/10/25	2022/02/04	Contig	Institut Pasteur de Montevideo	SAMN06627993	GCA_002703955.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/703/955/GCF_002703955.1_ASM270395v1	-	MbURU-020
Mycobacterium avium subsp. hominissuis	439334	PRJNA656902	656902	Terrabacteria group	Actinomycetota	5.01096	69.1	-	JACSHH01	96	4823	4634	2021/10/05	2021/10/07	Contig	University of Wisconsin-Madison	SAMN15806916	GCA_020275625.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/275/625/GCA_020275625.1_ASM2027562v1	33162087	T84
Mycobacterium tuberculosis	1773	PRJNA555636	555636	Terrabacteria group	Actinomycetota	4.41623	65.6	chromosome:NZ_CP041856.1/CP041856.1	-	1	4136	3893	2020/10/20	2022/06/23	Complete Genome	San Diego State University	SAMN12325210	GCA_014900635.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/900/635/GCA_014900635.1_ASM1490063v1	-	1-0071P6C4
Mycobacterium sp. 852002-51163_SCH5372311	1834097	PRJNA305922	305922	Terrabacteria group	Actinomycetota	5.52938	65.6	-	LZIJ01	210	5209	4966	2016/06/17	2022/07/29	Contig	JCVI	SAMN04696152	GCA_001667115.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/115/GCF_001667115.1_ASM166711v1	-	852002-51163_SCH5372311
Mycobacterium tuberculosis	1773	PRJNA555636	555636	Terrabacteria group	Actinomycetota	4.41617	65.6	chromosome:NZ_CP041857.1/CP041857.1	-	1	4130	3875	2020/10/20	2022/06/23	Complete Genome	San Diego State University	SAMN12325209	GCA_014900655.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/900/655/GCA_014900655.1_ASM1490065v1	-	1-0069P6C4
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.30482	65.6	-	NAZT01	98	4130	3821	2017/10/25	2022/02/07	Contig	Institut Pasteur de Montevideo	SAMN06627992	GCA_002704035.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/704/035/GCF_002704035.1_ASM270403v1	-	MbURU-019
Mycobacterium avium subsp. hominissuis	439334	PRJDB502	231331	Terrabacteria group	Actinomycetota	5.21758	69	-	BDNG01	342	5044	4841	2017/03/31	2022/01/30	Contig	Meijo University faculty of pharmacy	SAMD00076658	GCA_002089335.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/089/335/GCF_002089335.1_ASM208933v1	28045086	IH-145
Mycobacterium avium subsp. hominissuis	439334	PRJNA299461	299461	Terrabacteria group	Actinomycetota	5.09063	69.2	-	LMVS01	198	4890	4661	2016/04/04	2021/12/07	Contig	Robert Koch Institute	SAMN04229401	GCA_001610245.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/245/GCF_001610245.1_ASM161024v1	-	MAH-E-89-1
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.29561	65.6	-	LFGY01	100	4112	3799	2015/07/21	2022/01/16	Contig	Institut Pasteur de Montevideo	SAMN03776961	GCA_001184735.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/184/735/GCF_001184735.1_ASM118473v1	26543108	MbURU-001
Mycobacterium tuberculosis	1773	PRJNA718842	718842	Terrabacteria group	Actinomycetota	4.416	65.6	chromosome:NZ_CP072763.1/CP072763.1	-	1	4155	3947	2021/04/12	2022/01/25	Complete Genome	Pittsburgh Bacteriophage Institute	SAMN18576180	GCA_017901075.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/901/075/GCA_017901075.1_ASM1790107v1	-	CG21
Mycobacterium sp. UM_WGJ	1370120	PRJNA213251	213251	Terrabacteria group	Actinomycetota	4.47323	67.7	-	AUWR01	116	4200	4031	2013/08/26	2022/07/29	Contig	Universiti Malaya, Kuala Lumpur	SAMN02471858	GCA_000455125.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/455/125/GCA_000455125.1_Mycobacterium_sp_UM_WGJ	-	UM_WGJ
Mycobacterium sp. 1081908.1	1834066	PRJNA305922	305922	Terrabacteria group	Actinomycetota	5.61373	68.8	-	LZLY01	160	5500	5233	2016/06/17	2022/07/29	Contig	JCVI	SAMN04634193	GCA_001673535.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/673/535/GCF_001673535.1_ASM167353v1	-	1081908.1
Mycobacterium tuberculosis	1773	PRJNA718842	718842	Terrabacteria group	Actinomycetota	4.416	65.6	chromosome:NZ_CP072765.1/CP072765.1	-	1	4152	3944	2021/04/12	2022/01/25	Complete Genome	Pittsburgh Bacteriophage Institute	SAMN18576178	GCA_017901115.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/901/115/GCA_017901115.1_ASM1790111v1	-	H37Rv_CG
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.37321	65.5	-	NBAA01	96	4203	3874	2017/10/25	2022/02/07	Contig	Institut Pasteur de Montevideo	SAMN06628113	GCA_002703685.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/703/685/GCF_002703685.1_ASM270368v1	-	MbURU-005
Mycobacterium avium subsp. hominissuis	439334	PRJNA299461	299461	Terrabacteria group	Actinomycetota	5.05769	69.3	-	LNAI01	181	4843	4638	2016/04/04	2021/12/07	Contig	Robert Koch Institute	SAMN04229405	GCA_001610335.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/335/GCF_001610335.1_ASM161033v1	-	MAH-E-61-1y
Mycobacterium avium subsp. hominissuis	439334	PRJNA299461	299461	Terrabacteria group	Actinomycetota	5.15233	69.2	-	LNAW01	168	4991	4641	2016/04/04	2021/12/07	Scaffold	Robert Koch Institute	SAMN04229396	GCA_001610165.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/165/GCF_001610165.1_ASM161016v1	-	MAH-P-11082-03
Mycobacterium tuberculosis variant bovis	1765	PRJNA713797	713797	Terrabacteria group	Actinomycetota	4.37755	65.6	-	JAGEUB01	18	4160	3679	2021/05/07	2022/01/25	Scaffold	Michigan State University	SAMN18264920	GCA_018305025.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/305/025/GCA_018305025.1_ASM1830502v1	-	Ravenel
Mycobacterium tuberculosis	1773	PRJNA718842	718842	Terrabacteria group	Actinomycetota	4.416	65.6	chromosome:NZ_CP072764.1/CP072764.1	-	1	4154	3945	2021/04/12	2022/01/25	Complete Genome	Pittsburgh Bacteriophage Institute	SAMN18576179	GCA_017901055.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/901/055/GCA_017901055.1_ASM1790105v1	-	CG20
Mycobacterium sp. 852002-50816_SCH5313054-b	1834092	PRJNA305922	305922	Terrabacteria group	Actinomycetota	5.52089	68.5	-	LZIC01	149	5391	5141	2016/06/17	2022/07/29	Contig	JCVI	SAMN04696148	GCA_001667185.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/185/GCF_001667185.1_ASM166718v1	-	852002-50816_SCH5313054-b
Mycobacterium sp. P7213	2478465	PRJEB29144	505296	Terrabacteria group	Actinomycetota	4.51195	67.6	-	UWOA01	134	4279	4013	2018/11/16	2022/03/12	Contig	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS, Faculte de Medecine, Universite de la Mediterranee, Marseille, France	SAMEA4979882	GCA_900604305.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/604/305/GCA_900604305.1_PRJEB29144	-	P7213
Mycobacterium tuberculosis	1773	PRJNA555636	555636	Terrabacteria group	Actinomycetota	4.41514	65.6	chromosome:NZ_CP041789.1/CP041789.1	-	1	4135	3889	2020/10/20	2022/02/07	Complete Genome	San Diego State University	SAMN12325279	GCA_014899225.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/899/225/GCA_014899225.1_ASM1489922v1	-	SEA17020028P6C4
Mycobacterium tuberculosis variant bovis	1765	PRJNA287158	287158	Terrabacteria group	Actinomycetota	4.32111	65.6	-	NAZS01	96	4131	3810	2017/10/25	2022/02/07	Contig	Institut Pasteur de Montevideo	SAMN06627426	GCA_002703835.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/703/835/GCF_002703835.1_ASM270383v1	-	MbURU-009
Mycobacterium avium subsp. hominissuis	439334	PRJNA299461	299461	Terrabacteria group	Actinomycetota	5.2218	69.2	-	PEHE01	167	5032	4736	2018/01/22	2022/08/19	Scaffold	Robert Koch Institute	SAMN07808707	GCA_002894715.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/894/715/GCF_002894715.1_ASM289471v1	-	MAH-E-14-1
Mycobacterium tuberculosis variant bovis	1765	PRJNA362881	362881	Terrabacteria group	Actinomycetota	4.29593	65.6	-	MTZR01	146	4103	3814	2017/03/14	2022/07/08	Contig	Réseau français de Santé Animale	SAMN06250727	GCA_002026285.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/026/285/GCF_002026285.1_ASM202628v1	-	D11-00843
Mycobacterium avium subsp. hominissuis	439334	PRJNA329422	329422	Terrabacteria group	Actinomycetota	5.24869	69	-	MBFN01	167	5034	4808	2017/09/15	2022/02/04	Scaffold	Kobe Institute of Health	SAMN05412756	GCA_002304075.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/304/075/GCF_002304075.1_ASM230407v1	28957464	CAM57
Mycobacterium tuberculosis	1773	PRJEB49093	812845	Terrabacteria group	Actinomycetota	4.41512	65.6	chromosome 1:NZ_OW052189.1/OW052189.1	-	1	4136	3903	2022/03/12	2022/03/25	Complete Genome	EMBL-EBI	SAMEA13188731	GCA_932527325.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/932/527/325/GCA_932527325.1_mada_125	-	Lineage 2.2.7
Mycobacterium sp. WUMAC-025	2798586	PRJNA682417	682417	Terrabacteria group	Actinomycetota	5.85564	67.4	-	JAEKMY01	243	5571	5284	2021/10/03	2021/10/05	Contig	Washington University School of Medicine	SAMN16988985	GCA_020217805.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/217/805/GCA_020217805.1_ASM2021780v1	-	WUMAC-025
Mycobacterium sp. UM_CSW	1370119	PRJNA213250	213250	Terrabacteria group	Actinomycetota	6.39479	67.8	-	AUWQ01	186	6208	5924	2013/08/26	2022/07/29	Contig	Universiti Malaya, Kuala Lumpur	SAMN04287657	GCA_000455205.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/455/205/GCA_000455205.1_Mycobacterium_sp_UM_CSW	27035710	UM_CSW
Mycobacterium tuberculosis	1773	PRJNA555636	555636	Terrabacteria group	Actinomycetota	4.41496	65.6	chromosome:NZ_CP041842.1/CP041842.1	-	1	4139	3892	2020/10/20	2022/01/25	Complete Genome	San Diego State University	SAMN12325225	GCA_014900315.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/900/315/GCA_014900315.1_ASM1490031v1	-	2-0013P6C4
Mycobacterium avium subsp. hominissuis	439334	PRJNA299461	299461	Terrabacteria group	Actinomycetota	5.21457	69.2	-	LNBO01	171	5077	4726	2016/04/04	2021/12/07	Scaffold	Robert Koch Institute	SAMN04226732	GCA_001610035.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/035/GCF_001610035.1_ASM161003v1	-	MAH-P-772-08
Mycobacterium tuberculosis variant bovis	1765	PRJNA214551	214551	Terrabacteria group	Actinomycetota	4.31111	65.5	-	JQET01	108	4158	3836	2014/09/08	2022/01/30	Contig	South American Mycobacterium bovis WGS	SAMN02902642	GCA_000749675.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/675/GCA_000749675.1_ASM74967v1	-	08-08BF2
Mycobacterium tuberculosis variant bovis	1765	PRJNA214551	214551	Terrabacteria group	Actinomycetota	4.30177	65.5	-	JQEW01	85	4119	3799	2014/09/08	2022/01/30	Contig	South American Mycobacterium bovis WGS	SAMN02902645	GCA_000749745.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/745/GCA_000749745.1_ASM74974v1	-	0822-11
Mycobacterium avium subsp. hominissuis	439334	PRJNA299461	299461	Terrabacteria group	Actinomycetota	5.30978	69	-	LNAG01	214	5088	4860	2016/04/04	2021/12/07	Contig	Robert Koch Institute	SAMN04229399	GCA_001610215.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/215/GCF_001610215.1_ASM161021v1	-	MAH-E-83-1
Mycobacterium tuberculosis	1773	PRJNA556438	556438	Terrabacteria group	Actinomycetota	4.41477	65.6	chromosome:NZ_CP045962.1/CP045962.1	-	1	4131	3880	2019/11/17	2022/01/25	Complete Genome	Microbiological Diagnostic Unit	SAMN13191639	GCA_009664875.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/875/GCF_009664875.1_ASM966487v1	-	AUSMDU00018547
Mycobacterium sp. E3251	1834144	PRJNA305922	305922	Terrabacteria group	Actinomycetota	5.61932	67.7	-	LZJF01	205	5434	5196	2016/06/17	2022/07/29	Contig	JCVI	SAMN04634235	GCA_001666835.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/666/835/GCF_001666835.1_ASM166683v1	-	E3251
